层级,地区,2021年排放因子,2021年单位,2022年排放因子,2022年单位
省级,山东,0.6838,kgCO₂/kWh,0.641,kgCO₂/kWh
省级,新疆,0.6577,kgCO₂/kWh,0.6231,kgCO₂/kWh
省级,宁夏,0.6546,kgCO₂/kWh,0.6423,kgCO₂/kWh
省级,青海,0.1326,kgCO₂/kWh,0.1567,kgCO₂/kWh
省级,甘肃,0.4955,kgCO₂/kWh,0.4772,kgCO₂/kWh
省级,陕西,0.6336,kgCO₂/kWh,0.6558,kgCO₂/kWh
省级,云南,0.1235,kgCO₂/kWh,0.1073,kgCO₂/kWh
省级,贵州,0.5182,kgCO₂/kWh,0.4989,kgCO₂/kWh
省级,四川,0.1255,kgCO₂/kWh,0.1404,kgCO₂/kWh
省级,重庆,0.4743,kgCO₂/kWh,0.5227,kgCO₂/kWh
省级,海南,0.4524,kgCO₂/kWh,0.4184,kgCO₂/kWh
省级,广西,0.5154,kgCO₂/kWh,0.4044,kgCO₂/kWh
省级,广东,0.4715,kgCO₂/kWh,0.4403,kgCO₂/kWh
省级,湖南,0.5138,kgCO₂/kWh,0.49,kgCO₂/kWh
省级,湖北,0.3672,kgCO₂/kWh,0.4364,kgCO₂/kWh
省级,河南,0.6369,kgCO₂/kWh,0.6058,kgCO₂/kWh
省级,江西,0.5835,kgCO₂/kWh,0.5752,kgCO₂/kWh
