处理类别,处理工艺,CH₄排放因子,CH₄单位,N₂O排放因子,N₂O单位
固废处理-生物处理,堆肥处理,4.0,g CH₄/kg废弃物,0.3,g N₂O/kg废弃物
固废处理-生物处理,沼气设施的厌氧分解,1.0,g CH₄/kg废弃物,,g N₂O/kg废弃物
固废处理-垃圾焚烧,MSW露天燃烧,6500.0,g CH₄/T 废弃物,150.0,g N₂O/T 废弃物
固废处理-垃圾焚烧,MSW连续焚烧自动加煤机技术,0.2,g CH₄/T 废弃物,50.0,g N₂O/T 废弃物
固废处理-垃圾焚烧,MSW连续焚烧流化床技术,0.0,g CH₄/T 废弃物,50.0,g N₂O/T 废弃物
固废处理-垃圾焚烧,MSW半连续焚烧自动加煤机技术,6.0,g CH₄/T 废弃物,50.0,g N₂O/T 废弃物
固废处理-垃圾焚烧,MSW半连续焚烧流化床技术,188.0,g CH₄/T 废弃物,50.0,g N₂O/T 废弃物
固废处理-垃圾焚烧,MSW分批类焚烧自动加煤机技术,60.0,g CH₄/T 废弃物,60.0,g N₂O/T 废弃物
固废处理-垃圾焚烧,MSW分批类焚烧流化床技术,237.0,g CH₄/T 废弃物,60.0,g N₂O/T 废弃物
固废处理-垃圾焚烧,工业污泥（半连续或间歇式焚烧）,9.7,g CH₄/T 废弃物,900.0,g N₂O/T 废弃物
固废处理-垃圾焚烧,废油（半连续或间歇式焚烧）,0.56,g CH₄/T 废弃物,9.8,g N₂O/T 废弃物
