燃料类别,燃料类型,CO2因子,单位
煤炭,电煤,96.9,tCO₂/TJ
煤炭,无烟煤,98.3,tCO₂/TJ
煤炭,炼焦烟煤,94.6,tCO₂/TJ
煤炭,一般烟煤,94.6,tCO₂/TJ
煤炭,褐煤,101.2,tCO₂/TJ
煤炭,煤制品,97.5,tCO₂/TJ
煤炭,焦炭,107.1,tCO₂/TJ
煤炭,焦炉煤气,44.4,tCO₂/TJ
煤炭,高炉煤气,259.6,tCO₂/TJ
煤炭,转炉煤气,181.9,tCO₂/TJ
煤炭,其他煤气,44.4,tCO₂/TJ
石油,石脑油,73.3,tCO₂/TJ
石油,其他石油制品,73.3,tCO₂/TJ
石油,炼厂干气,57.6,tCO₂/TJ
石油,液化石油气,63.1,tCO₂/TJ
石油,石油焦,97.5,tCO₂/TJ
石油,石油沥青,80.7,tCO₂/TJ
石油,溶剂油,73.3,tCO₂/TJ
石油,石蜡,73.3,tCO₂/TJ
石油,润滑油,73.3,tCO₂/TJ
石油,燃料油,77.4,tCO₂/TJ
石油,柴油,74.1,tCO₂/TJ
石油,煤油,71.9,tCO₂/TJ
石油,喷气煤油（航空煤油）,71.5,tCO₂/TJ
石油,航空汽油,70.0,tCO₂/TJ
石油,汽油,69.3,tCO₂/TJ
石油,原油,73.3,tCO₂/TJ
天然气,天然气,56.1,tCO₂/TJ
